account_id,repayment_profile,month,contractual_principal_due
SYN-ECL-005,65pct_balloon_month_36,5,620.000000
SYN-ECL-005,65pct_balloon_month_36,6,620.000000
SYN-ECL-005,65pct_balloon_month_36,7,620.000000
SYN-ECL-005,65pct_balloon_month_36,8,620.000000
SYN-ECL-005,65pct_balloon_month_36,9,620.000000
SYN-ECL-005,65pct_balloon_month_36,10,620.000000
SYN-ECL-005,65pct_balloon_month_36,11,620.000000
SYN-ECL-005,65pct_balloon_month_36,12,620.000000
SYN-ECL-005,65pct_balloon_month_36,13,620.000000
SYN-ECL-005,65pct_balloon_month_36,14,620.000000
SYN-ECL-005,65pct_balloon_month_36,15,620.000000
SYN-ECL-005,65pct_balloon_month_36,16,620.000000
SYN-ECL-005,65pct_balloon_month_36,17,620.000000
SYN-ECL-005,65pct_balloon_month_36,18,620.000000
SYN-ECL-005,65pct_balloon_month_36,19,620.000000
SYN-ECL-005,65pct_balloon_month_36,20,620.000000
SYN-ECL-005,65pct_balloon_month_36,21,620.000000
SYN-ECL-005,65pct_balloon_month_36,22,620.000000
SYN-ECL-005,65pct_balloon_month_36,23,620.000000
SYN-ECL-005,65pct_balloon_month_36,24,620.000000
SYN-ECL-005,65pct_balloon_month_36,25,620.000000
SYN-ECL-005,65pct_balloon_month_36,26,620.000000
SYN-ECL-005,65pct_balloon_month_36,27,620.000000
SYN-ECL-005,65pct_balloon_month_36,28,620.000000
SYN-ECL-005,65pct_balloon_month_36,29,620.000000
SYN-ECL-005,65pct_balloon_month_36,30,620.000000
SYN-ECL-005,65pct_balloon_month_36,31,620.000000
SYN-ECL-005,65pct_balloon_month_36,32,620.000000
SYN-ECL-005,65pct_balloon_month_36,33,620.000000
SYN-ECL-005,65pct_balloon_month_36,34,620.000000
SYN-ECL-005,65pct_balloon_month_36,35,620.000000
SYN-ECL-005,65pct_balloon_month_36,36,40300.000000
SYN-ECL-006,bullet_month_36,1,0.000000
SYN-ECL-006,bullet_month_36,2,0.000000
SYN-ECL-006,bullet_month_36,3,0.000000
SYN-ECL-006,bullet_month_36,4,0.000000
SYN-ECL-006,bullet_month_36,5,0.000000
SYN-ECL-006,bullet_month_36,6,0.000000
SYN-ECL-006,bullet_month_36,7,0.000000
SYN-ECL-006,bullet_month_36,8,0.000000
SYN-ECL-006,bullet_month_36,9,0.000000
SYN-ECL-006,bullet_month_36,10,0.000000
SYN-ECL-006,bullet_month_36,11,0.000000
SYN-ECL-006,bullet_month_36,12,0.000000
SYN-ECL-006,bullet_month_36,13,0.000000
SYN-ECL-006,bullet_month_36,14,0.000000
SYN-ECL-006,bullet_month_36,15,0.000000
SYN-ECL-006,bullet_month_36,16,0.000000
SYN-ECL-006,bullet_month_36,17,0.000000
SYN-ECL-006,bullet_month_36,18,0.000000
SYN-ECL-006,bullet_month_36,19,0.000000
SYN-ECL-006,bullet_month_36,20,0.000000
SYN-ECL-006,bullet_month_36,21,0.000000
SYN-ECL-006,bullet_month_36,22,0.000000
SYN-ECL-006,bullet_month_36,23,0.000000
SYN-ECL-006,bullet_month_36,24,0.000000
SYN-ECL-006,bullet_month_36,25,0.000000
SYN-ECL-006,bullet_month_36,26,0.000000
SYN-ECL-006,bullet_month_36,27,0.000000
SYN-ECL-006,bullet_month_36,28,0.000000
SYN-ECL-006,bullet_month_36,29,0.000000
SYN-ECL-006,bullet_month_36,30,0.000000
SYN-ECL-006,bullet_month_36,31,0.000000
SYN-ECL-006,bullet_month_36,32,0.000000
SYN-ECL-006,bullet_month_36,33,0.000000
SYN-ECL-006,bullet_month_36,34,0.000000
SYN-ECL-006,bullet_month_36,35,0.000000
SYN-ECL-006,bullet_month_36,36,45000.000000
