case_id,scenario,scenario_weight,month,portfolio_ead,ead_weighted_lgd,contractual_principal_due,scheduled_principal_applied,expected_prepayment,closing_balance,expected_cure_recovery,expected_collateral_recovery,discounted_expected_recovery_at_default
baseline,downside,0.250000,7,459605.673688,0.470574,13249.761905,13249.761905,2167.510353,444188.401430,194566.307359,72544.901975,243327.180269
baseline,downside,0.250000,8,444188.401430,0.468014,13249.761905,13249.761905,2078.924866,428859.714660,187033.994315,72544.901975,236302.207260
baseline,downside,0.250000,9,428859.714660,0.465282,13249.761905,13249.761905,1990.874542,413619.078213,179546.631500,72544.901975,229319.187981
baseline,downside,0.250000,10,413619.078213,0.462361,13249.761905,13249.761905,1903.356025,398465.960283,172103.939788,72544.901975,222377.861785
baseline,downside,0.250000,11,398465.960283,0.459231,13249.761905,13249.761905,1816.365980,383399.832398,164705.641838,72544.901975,215477.969693
baseline,downside,0.250000,12,383399.832398,0.455870,13249.761905,13249.761905,1729.901093,368420.169401,157351.462090,72544.901975,208619.254387
baseline,downside,0.250000,13,368420.169401,0.452252,13249.761905,13249.761905,1643.958074,353526.449422,150041.126746,72544.901975,201801.460198
baseline,downside,0.250000,14,353526.449422,0.448346,13249.761905,13249.761905,1558.533651,338718.153866,142774.363764,72544.901975,195024.333096
baseline,downside,0.250000,15,338718.153866,0.444117,13249.761905,13249.761905,1473.624576,323994.767385,135550.902842,72544.901975,188287.620678
baseline,downside,0.250000,16,323994.767385,0.439525,13249.761905,13249.761905,1389.227620,309355.777861,128370.475410,72544.901975,181591.072158
baseline,downside,0.250000,17,309355.777861,0.434520,13249.761905,13249.761905,1305.339575,294800.676381,121232.814619,72544.901975,174934.438354
baseline,downside,0.250000,18,294800.676381,0.429047,13249.761905,13249.761905,1221.957255,280328.957221,114137.655325,72544.901975,168317.471682
baseline,downside,0.250000,19,280328.957221,0.423035,13249.761905,13249.761905,1139.077494,265940.117822,107084.734083,72544.901975,161739.926143
baseline,downside,0.250000,20,265940.117822,0.416404,13249.761905,13249.761905,1056.697146,251633.658772,100073.789133,72544.901975,155201.557311
baseline,downside,0.250000,21,251633.658772,0.409053,13249.761905,13249.761905,974.813085,237409.083782,93104.560389,72544.901975,148702.122326
baseline,downside,0.250000,22,237409.083782,0.400860,13249.761905,13249.761905,893.422205,223265.899672,86176.789430,72544.901975,142241.379881
baseline,downside,0.250000,23,223265.899672,0.394424,13249.761905,11493.008356,822.488797,210950.402519,79290.219487,71854.087114,135204.467300
baseline,downside,0.250000,24,210950.402519,0.393783,13249.761905,9291.428571,764.477073,200894.496874,73317.988520,69887.626813,127881.621167
baseline,downside,0.250000,25,200894.496874,0.394621,9291.428571,9291.428571,706.822232,190896.246071,68476.038825,67931.280042,121617.256170
baseline,downside,0.250000,26,190896.246071,0.395539,9291.428571,9291.428571,649.521968,180955.295532,63663.392184,65984.994787,115389.246313
baseline,downside,0.250000,27,180955.295532,0.396551,9291.428571,9291.428571,592.573991,171071.292969,58879.861524,64048.719303,109197.370531
baseline,downside,0.250000,28,171071.292969,0.397670,9291.428571,9291.428571,535.976028,161243.888370,54125.261011,62122.402109,103041.409158
baseline,downside,0.250000,29,161243.888370,0.398916,9291.428571,9291.428571,479.725820,151472.733978,49399.406043,60205.991988,96921.143914
baseline,downside,0.250000,30,151472.733978,0.400312,9291.428571,9291.428571,423.821123,141757.484284,44702.113242,58299.437989,90836.357902
baseline,downside,0.250000,31,141757.484284,0.401888,9291.428571,9291.428571,368.259707,132097.796006,40033.200445,56402.689422,84786.835591
baseline,downside,0.250000,32,132097.796006,0.403681,9291.428571,9291.428571,313.039360,122493.328075,35392.486698,54515.695857,78772.362817
baseline,downside,0.250000,33,122493.328075,0.405741,9291.428571,5382.783064,286.632018,116823.912993,30779.792243,52638.407124,72792.726764
baseline,downside,0.250000,34,116823.912993,0.409767,9291.428571,2125.505958,277.658802,114420.748233,28445.437911,50770.773312,68953.290962
baseline,downside,0.250000,35,114420.748233,0.405771,9291.428571,1791.428571,270.439319,112358.880342,27583.799827,50583.689975,67992.133740
baseline,downside,0.250000,36,112358.880342,0.400689,133800.000000,112358.880342,0.000000,0.000000,26871.777233,50583.689975,67337.948067
baseline,upside,0.150000,1,554000.000000,0.224850,13249.761905,13249.761905,5856.233958,534894.004137,351520.000000,89607.893760,429432.862610
baseline,upside,0.150000,2,534894.004137,0.221343,13249.761905,13249.761905,5618.049111,516026.193121,338357.945557,89607.893760,416498.942914
baseline,upside,0.150000,3,516026.193121,0.217615,13249.761905,13249.761905,5383.003625,497393.427591,325364.858249,89607.893760,403731.099694
baseline,upside,0.150000,4,497393.427591,0.213646,13249.761905,13249.761905,5151.054417,478992.611269,312538.464344,89607.893760,391127.097798
baseline,upside,0.150000,5,478992.611269,0.209414,13249.761905,13249.761905,4922.159014,460820.690351,299876.521819,89607.893760,378684.733251
baseline,upside,0.150000,6,460820.690351,0.204893,13249.761905,13249.761905,4696.275541,442874.652905,287376.819907,89607.893760,366401.832802
baseline,upside,0.150000,7,442874.652905,0.200053,13249.761905,13249.761905,4473.362721,425151.528279,275037.178644,89607.893760,354276.253489
baseline,upside,0.150000,8,425151.528279,0.194861,13249.761905,13249.761905,4253.379856,407648.386518,262855.448432,89607.893760,342305.882198
baseline,upside,0.150000,9,407648.386518,0.189280,13249.761905,13249.761905,4036.286828,390362.337786,250829.509600,89607.893760,330488.635241
baseline,upside,0.150000,10,390362.337786,0.183265,13249.761905,13249.761905,3822.044081,373290.531799,238957.271980,89607.893760,318822.457933
baseline,upside,0.150000,11,373290.531799,0.176766,13249.761905,13249.761905,3610.612624,356430.157271,227236.674479,89607.893760,307305.324173
baseline,upside,0.150000,12,356430.157271,0.169724,13249.761905,13249.761905,3401.954012,339778.441354,215665.684665,89607.893760,295935.236040
baseline,upside,0.150000,13,339778.441354,0.163512,13249.761905,13249.761905,3196.030345,323332.649104,204242.298360,89094.695224,284220.462341
baseline,upside,0.150000,14,323332.649104,0.159539,13249.761905,13249.761905,2992.804259,307090.082940,192964.539230,87638.022181,271748.434798
baseline,upside,0.150000,15,307090.082940,0.155189,13249.761905,13249.761905,2792.238915,291048.082121,181830.458391,86197.468585,259433.007457
baseline,upside,0.150000,16,291048.082121,0.150408,13249.761905,13249.761905,2594.297994,275204.022222,170838.134013,84772.856058,247272.120900
baseline,upside,0.150000,17,275204.022222,0.146098,13249.761905,13249.761905,2398.945692,259555.314626,159985.670938,83080.373443,234997.158493
baseline,upside,0.150000,18,259555.314626,0.142665,13249.761905,13249.761905,2206.146706,244099.406015,149271.200294,81034.367564,222525.776073
baseline,upside,0.150000,19,244099.406015,0.138841,13249.761905,13249.761905,2015.866232,228833.777879,138692.879124,79009.485451,210208.286304
baseline,upside,0.150000,20,228833.777879,0.134557,13249.761905,13249.761905,1828.069957,213755.946017,128248.890012,77005.506615,198042.692946
baseline,upside,0.150000,21,213755.946017,0.129722,13249.761905,13249.761905,1642.724049,198863.460063,117937.440721,75022.212886,186027.026727
baseline,upside,0.150000,22,198863.460063,0.124227,13249.761905,9837.951229,1501.593300,187523.915535,107756.763832,73059.388398,174159.344960
baseline,upside,0.150000,23,187523.915535,0.121428,13249.761905,9291.428571,1369.030066,176863.456898,100064.125163,71116.819556,164753.290552
baseline,upside,0.150000,24,176863.456898,0.118902,13249.761905,9291.428571,1238.230714,166333.797612,92847.775895,69194.295019,155833.964631
baseline,upside,0.150000,25,166333.797612,0.116088,9291.428571,9291.428571,1109.170480,155933.198560,85723.866576,67291.605670,147024.386393
baseline,upside,0.150000,26,155933.198560,0.112934,9291.428571,9291.428571,981.824958,145659.945031,78691.132011,65408.544596,138323.114791
baseline,upside,0.150000,27,145659.945031,0.109373,9291.428571,9291.428571,856.170100,135512.346359,71748.325123,63544.907065,129728.728675
baseline,upside,0.150000,28,135512.346359,0.105323,9291.428571,9291.428571,732.182206,125488.735581,64894.216690,61700.490501,121239.826506
baseline,upside,0.150000,29,125488.735581,0.100676,9291.428571,7631.276836,636.239613,117221.219132,58127.595076,59875.094459,112855.026074
baseline,upside,0.150000,30,117221.219132,0.097209,9291.428571,5124.761905,581.359301,111515.097926,52721.591012,58068.520609,105826.258823
baseline,upside,0.150000,31,111515.097926,0.096345,9291.428571,3184.059699,548.505470,107782.532757,49304.426045,56280.572707,100771.192063
baseline,upside,0.150000,32,107782.532757,0.094147,9291.428571,1791.428571,531.369855,105459.734331,47148.979845,55201.978124,97635.168397
baseline,upside,0.150000,33,105459.734331,0.090940,9291.428571,1791.428571,514.368152,103153.937607,45894.436055,54629.776820,95869.260115
baseline,upside,0.150000,34,103153.937607,0.087602,9291.428571,1791.428571,497.499273,100865.009763,44649.433777,54062.577476,94117.395598
baseline,upside,0.150000,35,100865.009763,0.084128,9291.428571,1791.428571,480.762137,98592.819055,43413.896672,53500.336369,92379.458991
baseline,upside,0.150000,36,98592.819055,0.080508,133800.000000,98592.819055,0.000000,0.000000,42187.749032,52943.010155,90655.335417
low_prepayment,base,0.600000,1,554000.000000,0.318691,13249.761905,13249.761905,2246.608005,538503.630090,307200.000000,88981.904000,377445.345205
low_prepayment,base,0.600000,2,538503.630090,0.316017,13249.761905,13249.761905,2172.692688,523081.175498,297757.941866,88981.904000,368327.395470
low_prepayment,base,0.600000,3,523081.175498,0.313196,13249.761905,13249.761905,2099.147556,507732.266037,288362.281993,88981.904000,359254.269083
low_prepayment,base,0.600000,4,507732.266037,0.310216,13249.761905,13249.761905,2025.970688,492456.533444,279012.782848,88981.904000,350225.736518
low_prepayment,base,0.600000,5,492456.533444,0.307063,13249.761905,13249.761905,1953.160170,477253.611369,269709.208156,88981.904000,341241.569460
low_prepayment,base,0.600000,6,477253.611369,0.303721,13249.761905,13249.761905,1880.714099,462123.135366,260451.322890,88981.904000,332301.540802
low_prepayment,base,0.600000,7,462123.135366,0.300175,13249.761905,13249.761905,1808.630583,447064.742878,251238.893266,88981.904000,323405.424637
low_prepayment,base,0.600000,8,447064.742878,0.296404,13249.761905,13249.761905,1736.907739,432078.073234,242071.686735,88981.904000,314552.996252
low_prepayment,base,0.600000,9,432078.073234,0.292387,13249.761905,13249.761905,1665.543696,417162.767633,232949.471975,88981.904000,305744.032123
low_prepayment,base,0.600000,10,417162.767633,0.288100,13249.761905,13249.761905,1594.536590,402318.469138,223872.018889,88981.904000,296978.309903
low_prepayment,base,0.600000,11,402318.469138,0.283514,13249.761905,13249.761905,1523.884570,387544.822663,214839.098593,88981.904000,288255.608425
low_prepayment,base,0.600000,12,387544.822663,0.278598,13249.761905,13249.761905,1453.585792,372841.474966,205850.483412,88981.904000,279575.707686
low_prepayment,base,0.600000,13,372841.474966,0.273315,13249.761905,13249.761905,1383.638425,358208.074636,196905.946875,88981.904000,270938.388848
low_prepayment,base,0.600000,14,358208.074636,0.267623,13249.761905,13249.761905,1314.040645,343644.272087,188005.263704,88981.904000,262343.434225
low_prepayment,base,0.600000,15,343644.272087,0.261473,13249.761905,13249.761905,1244.790639,329149.719543,179148.209814,88981.904000,253790.627285
low_prepayment,base,0.600000,16,329149.719543,0.254808,13249.761905,13249.761905,1175.886604,314724.071034,170334.562298,88981.904000,245279.752635
low_prepayment,base,0.600000,17,314724.071034,0.247561,13249.761905,13249.761905,1107.326746,300366.982382,161564.099430,88981.904000,236810.596021
low_prepayment,base,0.600000,18,300366.982382,0.241848,13249.761905,13249.761905,1039.109281,286078.111196,152836.600650,88274.983817,227723.893923
low_prepayment,base,0.600000,19,286078.111196,0.238403,13249.761905,13249.761905,971.232434,271857.116857,144151.846565,86707.506115,217876.200705
low_prepayment,base,0.600000,20,271857.116857,0.234613,13249.761905,13249.761905,903.694440,257703.660512,135509.618937,85146.714204,208075.822577
low_prepayment,base,0.600000,21,257703.660512,0.230424,13249.761905,13249.761905,836.493544,243617.405064,126909.700681,83592.579569,198322.523186
low_prepayment,base,0.600000,22,243617.405064,0.225769,13249.761905,13249.761905,769.627997,229598.015162,118351.875855,82045.073813,188616.067397
low_prepayment,base,0.600000,23,229598.015162,0.220567,13249.761905,12407.615300,707.056766,216483.343095,109835.929657,80504.168662,178956.221290
low_prepayment,base,0.600000,24,216483.343095,0.215443,13249.761905,9291.428571,659.454536,206532.459989,101881.323677,78969.835963,169843.460432
low_prepayment,base,0.600000,25,206532.459989,0.212583,9291.428571,9291.428571,612.095005,196628.936412,95888.675237,77442.047682,162627.256034
low_prepayment,base,0.600000,26,196628.936412,0.209445,9291.428571,9291.428571,564.976876,186772.530965,89925.791371,75920.775906,155445.909220
low_prepayment,base,0.600000,27,186772.530965,0.206666,9291.428571,9291.428571,518.098858,176963.003535,83992.515746,74267.405474,148172.961628
low_prepayment,base,0.600000,28,176963.003535,0.206151,9291.428571,9291.428571,471.459667,167200.115297,78088.692880,72123.788806,140481.917110
low_prepayment,base,0.600000,29,167200.115297,0.205580,9291.428571,9291.428571,425.058027,157483.628698,72214.168144,69988.763107,132827.167517
low_prepayment,base,0.600000,30,157483.628698,0.204943,9291.428571,9291.428571,378.892668,147813.307459,66368.787751,67862.293608,125208.531841
low_prepayment,base,0.600000,31,147813.307459,0.204227,9291.428571,9291.428571,332.962327,138188.916561,60552.398756,65744.345685,117625.830021
low_prepayment,base,0.600000,32,138188.916561,0.203417,9291.428571,9291.428571,287.265749,128610.222241,54764.849048,63634.884852,110078.882932
low_prepayment,base,0.600000,33,128610.222241,0.202493,9291.428571,7873.365832,250.351622,120486.504787,49005.987346,61533.876766,102567.512386
low_prepayment,base,0.600000,34,120486.504787,0.202849,9291.428571,3629.204050,236.568428,116620.732309,44262.322159,59441.287223,96045.902755
low_prepayment,base,0.600000,35,116620.732309,0.204063,9291.428571,1791.428571,230.675604,114598.628133,42287.458386,58012.320842,92822.803881
low_prepayment,base,0.600000,36,114598.628133,0.202819,133800.000000,114598.628133,0.000000,0.000000,41344.597707,57394.082397,91355.797562
low_prepayment,downside,0.250000,1,554000.000000,0.483081,13249.761905,13249.761905,1333.785850,539416.452245,240720.000000,72544.901975,286372.856343
low_prepayment,downside,0.250000,2,539416.452245,0.481450,13249.761905,13249.761905,1292.504155,524874.186185,233580.852832,72544.901975,279714.421788
low_prepayment,downside,0.250000,3,524874.186185,0.479731,13249.761905,13249.761905,1251.344915,510373.079365,226462.647776,72544.901975,273075.532919
low_prepayment,downside,0.250000,4,510373.079365,0.477919,13249.761905,13249.761905,1210.307752,495913.009709,219365.321039,72544.901975,266456.130170
low_prepayment,downside,0.250000,5,495913.009709,0.476005,13249.761905,13249.761905,1169.392291,481493.855512,212288.809030,72544.901975,259856.154162
low_prepayment,downside,0.250000,6,481493.855512,0.473980,13249.761905,13249.761905,1128.598159,467115.495449,205233.048359,72544.901975,253275.545703
low_prepayment,downside,0.250000,7,467115.495449,0.471835,13249.761905,13249.761905,1087.924982,452777.808562,198197.975833,72544.901975,246714.245787
low_prepayment,downside,0.250000,8,452777.808562,0.469558,13249.761905,13249.761905,1047.372389,438480.674268,191183.528458,72544.901975,240172.195592
low_prepayment,downside,0.250000,9,438480.674268,0.467139,13249.761905,13249.761905,1006.940009,424223.972355,184189.643438,72544.901975,233649.336482
low_prepayment,downside,0.250000,10,424223.972355,0.464562,13249.761905,13249.761905,966.627473,410007.582977,177216.258172,72544.901975,227145.610004
low_prepayment,downside,0.250000,11,410007.582977,0.461812,13249.761905,13249.761905,926.434413,395831.386660,170263.310259,72544.901975,220660.957890
low_prepayment,downside,0.250000,12,395831.386660,0.458872,13249.761905,13249.761905,886.360461,381695.264294,163330.737492,72544.901975,214195.322054
low_prepayment,downside,0.250000,13,381695.264294,0.455721,13249.761905,13249.761905,846.405252,367599.097137,156418.477857,72544.901975,207748.644592
low_prepayment,downside,0.250000,14,367599.097137,0.452336,13249.761905,13249.761905,806.568422,353542.766810,149526.469539,72544.901975,201320.867781
low_prepayment,downside,0.250000,15,353542.766810,0.448689,13249.761905,13249.761905,766.849606,339526.155299,142654.650914,72544.901975,194911.934082
low_prepayment,downside,0.250000,16,339526.155299,0.444750,13249.761905,13249.761905,727.248443,325549.144951,135802.960552,72544.901975,188521.786133
low_prepayment,downside,0.250000,17,325549.144951,0.440483,13249.761905,13249.761905,687.764571,311611.618476,128971.337214,72544.901975,182150.366755
low_prepayment,downside,0.250000,18,311611.618476,0.435844,13249.761905,13249.761905,648.397630,297713.458941,122159.719857,72544.901975,175797.618947
low_prepayment,downside,0.250000,19,297713.458941,0.430783,13249.761905,13249.761905,609.147260,283854.549776,115368.047625,72544.901975,169463.485886
low_prepayment,downside,0.250000,20,283854.549776,0.425241,13249.761905,13249.761905,570.013106,270034.774766,108596.259856,72544.901975,163147.910929
low_prepayment,downside,0.250000,21,270034.774766,0.419146,13249.761905,13249.761905,530.994808,256254.018053,101844.296078,72544.901975,156850.837609
low_prepayment,downside,0.250000,22,256254.018053,0.412410,13249.761905,13249.761905,492.092013,242512.164135,95112.096005,72544.901975,150572.209637
low_prepayment,downside,0.250000,23,242512.164135,0.404929,13249.761905,13249.761905,453.304365,228809.097865,88399.599545,72544.901975,144311.970902
low_prepayment,downside,0.250000,24,228809.097865,0.397439,13249.761905,10321.206897,422.809479,218065.081490,81706.746792,72321.628154,137871.417153
low_prepayment,downside,0.250000,25,218065.081490,0.397897,9291.428571,9291.428571,395.281846,208378.371073,76493.666547,70404.586848,131297.730340
low_prepayment,downside,0.250000,26,208378.371073,0.399077,9291.428571,9291.428571,367.837500,198719.105001,71809.484532,68492.405335,125219.459578
low_prepayment,downside,0.250000,27,198719.105001,0.400367,9291.428571,9291.428571,340.476179,189087.200251,67139.267642,66585.071295,119158.562348
low_prepayment,downside,0.250000,28,189087.200251,0.401784,9291.428571,9291.428571,313.197617,179482.574062,62482.972078,64682.572439,113114.986735
low_prepayment,downside,0.250000,29,179482.574062,0.403348,9291.428571,9291.428571,286.001554,169905.143937,57840.554182,62784.896511,107088.680987
low_prepayment,downside,0.250000,30,169905.143937,0.405082,9291.428571,9291.428571,258.887728,160354.827637,53211.970439,60892.031283,101079.593512
low_prepayment,downside,0.250000,31,160354.827637,0.407017,9291.428571,9291.428571,231.855878,150831.543187,48597.177475,59003.964561,95087.672878
low_prepayment,downside,0.250000,32,150831.543187,0.409189,9291.428571,9291.428571,204.905745,141335.208871,43996.132056,57120.684180,89112.867813
low_prepayment,downside,0.250000,33,141335.208871,0.411646,9291.428571,9291.428571,178.037070,131865.743229,39408.791093,55242.178006,83155.127202
low_prepayment,downside,0.250000,34,131865.743229,0.414447,9291.428571,8963.815304,152.418925,122749.509000,34835.111631,53368.433936,77214.400091
low_prepayment,downside,0.250000,35,122749.509000,0.417775,9291.428571,3426.696292,144.884732,119177.927976,30464.388343,51499.439899,71467.780486
low_prepayment,downside,0.250000,36,119177.927976,0.418035,133800.000000,119177.927976,0.000000,0.000000,29070.523610,50583.689975,69357.383314
low_prepayment,upside,0.150000,1,554000.000000,0.224850,13249.761905,13249.761905,2827.208404,537923.029691,351520.000000,89607.893760,429432.862610
low_prepayment,upside,0.150000,2,537923.029691,0.221924,13249.761905,13249.761905,2730.675405,521942.592381,340439.849290,89607.893760,418544.748012
low_prepayment,upside,0.150000,3,521942.592381,0.218834,13249.761905,13249.761905,2634.751731,506058.078745,329428.043064,89607.893760,407723.807520
low_prepayment,upside,0.150000,4,506058.078745,0.215565,13249.761905,13249.761905,2539.433392,490268.883448,318484.141331,89607.893760,396969.608619
low_prepayment,upside,0.150000,5,490268.883448,0.212102,13249.761905,13249.761905,2444.716421,474574.405123,307607.707030,89607.893760,386281.721673
low_prepayment,upside,0.150000,6,474574.405123,0.208428,13249.761905,13249.761905,2350.596880,458974.046338,296798.306006,89607.893760,375659.719908
low_prepayment,upside,0.150000,7,458974.046338,0.204523,13249.761905,13249.761905,2257.070857,443467.213576,286055.506994,89607.893760,365103.179386
low_prepayment,upside,0.150000,8,443467.213576,0.200366,13249.761905,13249.761905,2164.134466,428053.317206,275378.881595,89607.893760,354611.678991
low_prepayment,upside,0.150000,9,428053.317206,0.195930,13249.761905,13249.761905,2071.783848,412731.771453,264768.004262,89607.893760,344184.800405
low_prepayment,upside,0.150000,10,412731.771453,0.191189,13249.761905,13249.761905,1980.015169,397501.994379,254222.452276,89607.893760,333822.128095
low_prepayment,upside,0.150000,11,397501.994379,0.186109,13249.761905,13249.761905,1888.824622,382363.407853,243741.805726,89607.893760,323523.249289
low_prepayment,upside,0.150000,12,382363.407853,0.180654,13249.761905,13249.761905,1798.208425,367315.437523,233325.647495,89607.893760,313287.753958
low_prepayment,upside,0.150000,13,367315.437523,0.174782,13249.761905,13249.761905,1708.162821,352357.512798,222973.563237,89607.893760,303115.234799
low_prepayment,upside,0.150000,14,352357.512798,0.168443,13249.761905,13249.761905,1618.684079,337489.066814,212685.141359,89607.893760,293005.287215
low_prepayment,upside,0.150000,15,337489.066814,0.164354,13249.761905,13249.761905,1529.768495,322709.536414,202459.973000,88626.886909,282021.304483
low_prepayment,upside,0.150000,16,322709.536414,0.160937,13249.761905,13249.761905,1441.412385,308018.362125,192297.652016,87304.984021,270773.764673
low_prepayment,upside,0.150000,17,308018.362125,0.157211,13249.761905,13249.761905,1353.612095,293414.988125,182197.774962,85990.171521,259594.365275
low_prepayment,upside,0.150000,18,293414.988125,0.153136,13249.761905,13249.761905,1266.363992,278898.862228,172159.941068,84682.411377,248482.676040
low_prepayment,upside,0.150000,19,278898.862228,0.148658,13249.761905,13249.761905,1179.664470,264469.435853,162183.752226,83381.665762,237438.269528
low_prepayment,upside,0.150000,20,264469.435853,0.144116,13249.761905,13249.761905,1093.509946,250126.164002,152268.812970,81975.515917,226355.095245
low_prepayment,upside,0.150000,21,250126.164002,0.140760,13249.761905,13249.761905,1007.896861,235868.505236,142414.730458,80129.518903,214918.427090
low_prepayment,upside,0.150000,22,235868.505236,0.137019,13249.761905,13249.761905,922.821680,221695.921651,132621.114455,78292.809177,203550.017676
low_prepayment,upside,0.150000,23,221695.921651,0.132824,13249.761905,11266.737494,850.016520,209579.167637,122887.577311,76465.339546,192249.441053
